Location,Climate
Albury,Temperate
BadgerysCreek,Temperate
Cobar,Grassland
CoffsHarbour,Subtropical
Moree,Subtropical
Newcastle,Temperate
NorahHead,Temperate
NorfolkIsland,Subtropical
Penrith,Temperate
Richmond,Temperate
Sydney,Temperate
SydneyAirport,Temperate
WaggaWagga,Temperate
Williamtown,Temperate
Wollongong,Temperate
Canberra,Temperate
Tuggeranong,Temperate
MountGinini,Temperate
Ballarat,Temperate
Bendigo,Temperate
Sale,Temperate
MelbourneAirport,Temperate
Melbourne,Temperate
Mildura,Grassland
Nhil,Temperate
Portland,Temperate
Watsonia,Temperate
Dartmoor,Temperate
Brisbane,Subtropical
Cairns,Tropical
GoldCoast,Subtropical
Townsville,Tropical
Adelaide,Temperate
MountGambier,Temperate
Nuriootpa,Temperate
Woomera,Desert
Albany,Temperate
Witchcliffe,Temperate
PearceRAAF,Subtropical
PerthAirport,Subtropical
Perth,Subtropical
SalmonGums,Temperate
Walpole,Temperate
Hobart,Temperate
Launceston,Temperate
AliceSprings,Grassland
Darwin,Tropical
Katherine,Tropical
Uluru,Desert
