Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7737831858407079,0.7455688628786734,0.7455688628786734,0.7865294930695663,0.22890424728393555
RandomForestClassifier,0.8560103244837758,0.72628996148635,0.72628996148635,0.8441824271402095,19.631580114364624
ExtraTreesClassifier,0.8582964601769911,0.7256204014370021,0.7256204014370021,0.8456824882240813,29.563097953796387
LinearDiscriminantAnalysis,0.8440634218289086,0.7201718059271127,0.7201718059271127,0.834100996517052,0.6483967304229736
LogisticRegression,0.8459070796460177,0.7163567035814656,0.7163567035814657,0.8344857092683542,0.39141154289245605
CalibratedClassifierCV,0.844948377581121,0.7140382048675227,0.7140382048675227,0.8332265365447309,3.1995272636413574
AdaBoostClassifier,0.843952802359882,0.7128533245873653,0.7128533245873653,0.8322251476149721,5.370697259902954
SGDClassifier,0.8420353982300885,0.7104698240669842,0.7104698240669841,0.8302726838572521,0.6871671676635742
BaggingClassifier,0.8445058997050148,0.7084564496982453,0.7084564496982454,0.8314772410071526,10.321153163909912
LinearSVC,0.8450221238938053,0.7084211752996068,0.7084211752996068,0.8318280692886465,0.9529211521148682
KNeighborsClassifier,0.8341445427728613,0.7017688110493763,0.7017688110493762,0.8225524470464073,2.465583086013794
GaussianNB,0.8064896755162242,0.7016225330754471,0.7016225330754471,0.8034430421366741,0.25426673889160156
RidgeClassifier,0.8437684365781711,0.6969000275086115,0.6969000275086116,0.8277773865702005,0.2782893180847168
RidgeClassifierCV,0.8437684365781711,0.6969000275086115,0.6969000275086116,0.8277773865702005,0.729912519454956
DecisionTreeClassifier,0.786688790560472,0.696206366740447,0.696206366740447,0.7884990442389204,1.446401596069336
BernoulliNB,0.7919616519174041,0.6933663472800728,0.693366347280073,0.7915914988329905,0.2782554626464844
PassiveAggressiveClassifier,0.7912610619469026,0.6896902942866727,0.6896902942866727,0.7903222724267964,0.3662071228027344
ExtraTreeClassifier,0.7753687315634218,0.6726438574615905,0.6726438574615906,0.7757760718819225,0.329301118850708
Perceptron,0.7934365781710915,0.6636133723157147,0.6636133723157147,0.7854161289314419,0.32056498527526855
QuadraticDiscriminantAnalysis,0.7219395280235988,0.6462684340612144,0.6462684340612144,0.7339432155059394,0.5997288227081299
DummyClassifier,0.7817846607669616,0.5,0.5,0.686039417970329,0.19051480293273926
